"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Investigates the Impact of AI-generated Code Tools on Software Readability Code Quality Factor","H. Fawareh; H. M. Al-Shdaifat; A. -R. M; F. A. Fawareh; M. Khouj","Dept. of Software Engineering, Zarqa University, Jordan; Dept. of Software Engineering, Zarqa University, Jordan; Dept. of Software Engineering, Zarqa University, Jordan; Dept. Of Mathmitical Science, Zarqa University, Jordan; Dept. of Electrical Engineering, University of Business and Technology, Jeddah, Saudi Arabia",2024 25th International Arab Conference on Information Technology (ACIT),"17 Feb 2025","2024","","","1","5","Artificial Intelligence (AI) has made great strides in various industries, including software development, with tools such as ChatGPT changing the way code is written, maintained and developed. This study investigates the impact of AI-generated code on software quality, focusing on readability, code clarity, complexity, and documentation. Comparing AI-generated code with open-source code from GitHub for three tasks of varying difficulty (easy, medium, and hard), we evaluated key metrics such as cyclomatic complexity (CC), code lines, comment density, code-to-code ratio, and variable names. The results revealed that although both AI-generated and human-generated code can be concise and efficient, code generated by AI tools shows a greater focus on documentation more clearly. AI-generated code especially in complex tasks showed improved readability due to higher comment density and the use of clear variable names. These results show that AI tools such as ChatGPT can enhance code quality, especially in the software industry where readability and comprehensibility are critical.","2831-4948","979-8-3315-4001-2","10.1109/ACIT62805.2024.10876897","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10876897","Readability;AI-Tools;Code Quality;Software development;ChatGPT","Industries;Codes;Documentation;Software quality;Chatbots;Complexity theory;Teamwork;Software measurement;Artificial intelligence;Software development management","","34","","21","IEEE","17 Feb 2025","10-12 Dec. 2024","10-12 Dec. 2024","IEEE","IEEE Conferences"
"A Quantitative Analysis of Quality and Consistency in AI-generated Code","A. Clark; D. Igbokwe; S. Ross; M. F. Zibran","Department of Computer Science, Idaho State University, Pocatello, ID, USA; Department of Computer Science, Idaho State University, Pocatello, ID, USA; Department of Computer Science, Idaho State University, Pocatello, ID, USA; Department of Computer Science, Idaho State University, Pocatello, ID, USA",2024 7th International Conference on Software and System Engineering (ICoSSE),"29 Jul 2024","2024","","","37","41","With the recent emergence of generative AI (Artificial intelligence), Large Language Model (LLM) based tools such as ChatGPT have become popular assistants to humans in diverse tasks. ChatGPT has also been widely adopted for solving programming problems and for generating source code in software development. This research investigates both the code quality and the consistency of code quality over iterative prompts in 625 ChatGPT-generated Python code samples in the DevGPT dataset and the corresponding code snippets regenerated by manually prompting ChatGPT. Code samples are measured in terms of seven Halstead complexity metrics. We also assess how consistent they are across code snippets generated by different versions of ChatGPT. It was found that while ChatGPT generates good quality code across iterative prompts, it does generate semifrequent bugs, similar to how humans do, necessitating code review before integration. These traits also remain consistent across code snippets generated by subsequent releases of ChatGPT. These results suggest using AI-generated source code in software development will not hinder the process.","","979-8-3503-8659-2","10.1109/ICoSSE62619.2024.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10608315","ChatGPT;Generative AI;Code;Quality;Complexity;Consistency;Python;Program;Analysis","Measurement;Codes;Statistical analysis;Source coding;Computer bugs;Chatbots;Complexity theory","","9","","24","IEEE","29 Jul 2024","19-21 April 2024","19-21 April 2024","IEEE","IEEE Conferences"
"AI Writes, We Analyze: The ChatGPT Python Code Saga","M. F. Rabbi; A. Champa; M. Zibran; M. R. Islam","Idaho State University, USA; Idaho State University, USA; Idaho State University, USA; Lamar University, USA",2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),"18 Jun 2024","2024","","","177","181","In this study, we quantitatively analyze 1,756 AI-written Python code snippets in the DevGPT dataset and evaluate them for quality and security issues. We systematically distinguish the code snippets as either generated by ChatGPT from scratch (ChatGPT-generated) or modified user-provided code (ChatGPT-modified). The results reveal that ChatGPT-modified code more frequently displays quality issues compared to ChatGPT-generated code. The findings provide insights into the inherent limitations of AI-written code and emphasize the need for scrutiny before integrating such pieces of code into software systems.","2574-3864","979-8-4007-0587-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555820","Code quality;Code security;ChatGPT;Python;CWE;Analysis","Measurement;Codes;Source coding;Oral communication;Chatbots;Software systems;Security","","9","","44","","18 Jun 2024","15-16 April 2024","15-16 April 2024","IEEE","IEEE Conferences"
"Novel Preprocessing Technique for Data Embedding in Engineering Code Generation Using Large Language Model","Y. -C. Lin; A. Kumar; N. Chang; W. Zhang; M. Zakir; R. Apte; H. He; C. Wang; J. -S. R. Jang","National Taiwan University, Taipei, Taiwan; Ansys, Inc., San Jose, Califonia, USA; Ansys, Inc., San Jose, Califonia, USA; Ansys, Inc., San Jose, Califonia, USA; Ansys, Inc., San Jose, Califonia, USA; Ansys, Inc., San Jose, Califonia, USA; Ansys, Inc., San Jose, Califonia, USA; Ansys, Inc., San Jose, Califonia, USA; National Taiwan University, Taipei, Taiwan",2024 IEEE LLM Aided Design Workshop (LAD),"1 Oct 2024","2024","","","1","5","We introduce four principal contributions to augment the capabilities of Large Language Models (LLMs) in generating domain-specific code: (i) leveraging LLM-based data splitting and data renovation techniques to refine the semantic representation within the embedding space; (ii) proposing an effective method for refactoring existing scripts, enabling the generation of new and high-quality scripts with the aid of LLMs; (iii) developing the Implicit Knowledge Expansion and Contemplation (IKEC) Prompt technique; and (iv) showcasing the efficacy of our data pre-processing approach through a case study using engineering simulation software RedHawk-SC. Our contributions collectively advance the Retrieval-Augmented Generation (RAG) framework, enabling more relevant and precise information retrieval. An arena-style evaluation by 28 domain experts and 182 votes confirms the significant effectiveness of our methods. Notably, our approach achieves up to 1.43 times the improvement in code generation for MapReduce applications compared to the Chain-of-Thought (CoT) technique.","","979-8-3503-7608-1","10.1109/LAD62341.2024.10691715","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691715","Large language models (LLMs);domain-specific;code generation;data preprocessing;data splitter;data renovation;domain-specific;Retrieval-Augmented Generation (RAG);prompt engineering;MapReduce;RedHawk-SC (RH-SC)","Knowledge engineering;Codes;Large language models;Conferences;Semantics;Data preprocessing;Information retrieval;Software;Prompt engineering","","3","","16","IEEE","1 Oct 2024","28-29 June 2024","28-29 June 2024","IEEE","IEEE Conferences"
"A Digital Twin Modeling Code Generation Framework based on Large Language Model","J. Dong; L. Ren","School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",IECON 2024 - 50th Annual Conference of the IEEE Industrial Electronics Society,"10 Mar 2025","2024","","","1","4","Digital twin has made significant achievements in applications across various fields by bridging the gap between virtual and physical world. However, the modeling of digital twin faces challenges of labor-intensive and time-consuming manual modeling or coding. With the emergence of artificial intelligence foundation models, the integration of large language models (LLMs) and digital twin may contribute to enhancing modeling efficiency significantly. Therefore, in this paper, a framework of digital twin modeling code generation is proposed based on LLMs. Given instructions in natural language prompts, modeling code in digital twin software will be generated from LLMs. Firstly, a tree diagram-based code generation method is proposed to generate main section of modeling code. Additionally, a randomized code completion method is proposed to complete missing parts which are unspecified or unclear in prompts. Finally, a case study is given in NVIDIA Omniverse for a digital twin construction based on framework proposed in this paper.","","978-1-6654-6454-3","10.1109/IECON55916.2024.10905976","Research and Development; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10905976","digital twin;large language model;modeling and simulation;code generation;AI foundation model","Industrial electronics;Solid modeling;Codes;Three-dimensional displays;Foundation models;Large language models;Natural languages;Manuals;Software;Digital twins","","","","13","IEEE","10 Mar 2025","3-6 Nov. 2024","3-6 Nov. 2024","IEEE","IEEE Conferences"
"ChatGPT Chats Decoded: Uncovering Prompt Patterns for Superior Solutions in Software Development Lifecycle","L. Wu; Y. Zhao; X. Hou; T. Liu; H. Wang","Huazhong University of Science and Technology, China; Huazhong University of Science and Technology, China; Huazhong University of Science and Technology, China; Monash University, Melbourne, Australia; Huazhong University of Science and Technology, China",2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),"18 Jun 2024","2024","","","142","146","The advent of Large Language Models (LLMs) like ChatGPT has markedly transformed software development, aiding tasks from code generation to issue resolution with their human-like text generation. Nevertheless, the effectiveness of these models greatly depends on the nature of the prompts given by developers. Therefore, this study delves into the DevGPT dataset, a rich collection of developer-ChatGPT dialogues, to unearth the patterns in prompts that lead to effective problem resolutions. The underlying motivation for this research is to enhance the collaboration between human developers and AI tools, thereby improving productivity and problem-solving efficacy in software development. Utilizing a combination of textual analysis and data-driven approaches, this paper seeks to identify the attributes of prompts that are associated with successful interactions, providing crucial insights for the strategic employment of ChatGPT in software engineering environments.CCS CONCEPTS•Information systems → Data mining.","2574-3864","979-8-4007-0587-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555800","Data mining;Large language model;LLM;ChatGPT","Productivity;Oral communication;Chatbots;Frequency conversion;Software;Data mining;Problem-solving","","1","","14","","18 Jun 2024","15-16 April 2024","15-16 April 2024","IEEE","IEEE Conferences"
"Assessing the Performance of AI-Generated Code: A Case Study on GitHub Copilot","S. Li; Y. Cheng; J. Chen; J. Xuan; S. He; W. Shang","School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; Department of Systems and Industrial Engineering, University of Arizona, Tucson, United States; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada",2024 IEEE 35th International Symposium on Software Reliability Engineering (ISSRE),"3 Dec 2024","2024","","","216","227","The integration of Large Language Models (LLMs) into software development tools like GitHub Copilot holds the promise of transforming code generation processes. While AI-driven code generation presents numerous advantages for software development, code generated by large language models may introduce challenges related to security, privacy, and copyright issues. However, the performance implications of AI-generated code remain insufficiently explored. This study conducts an empirical analysis focusing on the performance regressions of code generated by GitHub Copilot across three distinct datasets: HumanEval, AixBench, and MBPP. We adopt a comprehensive methodology encompassing static and dynamic performance analyses to assess the effectiveness of the generated code. Our findings reveal that although the generated code is functionally correct, it frequently exhibits performance regressions compared to code solutions crafted by humans. We further investigate the code-level root causes responsible for these performance regressions. We identify four major root causes, i.e., inefficient function calls, inefficient looping, inefficient algorithm, and inefficient use of language features. We further identify a total of ten sub-categories of root causes attributed to the performance regressions of generated code. Additionally, we explore prompt engineering as a potential strategy for optimizing performance. The outcomes suggest that meticulous prompt designs can enhance the performance of AI-generated code. This research offers valuable insights contributing to a more comprehensive understanding of AI-assisted code generation.","2332-6549","979-8-3503-5388-4","10.1109/ISSRE62328.2024.00030","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771230","Code generation;Software performance;Github Copilot;Program analysis","Privacy;Codes;Large language models;Focusing;Software reliability;Performance analysis;Prompt engineering;Security;Software development management","","8","","63","IEEE","3 Dec 2024","28-31 Oct. 2024","28-31 Oct. 2024","IEEE","IEEE Conferences"
"A Multi-Expert Large Language Model Architecture for Verilog Code Generation","B. Nadimi; H. Zheng","Dept. of Computer Science and Engineering, University of South Florida, Tampa, Florida, United States; Dept. of Computer Science and Engineering, University of South Florida, Tampa, Florida, United States",2024 IEEE LLM Aided Design Workshop (LAD),"1 Oct 2024","2024","","","1","5","Recently, there has been a surging interest in using large language models (LLMs) for Verilog code generation. However, the existing approaches are limited in terms of the quality of the generated Verilog code. To address such limitations, this paper introduces an innovative multi-expert LLM architecture for Verilog code generation (MEV-LLM). Our architecture uniquely integrates multiple LLMs, each specifically fine-tuned with a dataset that is categorized with respect to a distinct level of design complexity. It allows more targeted learning, directly addressing the nuances of generating Verilog code for each category. Empirical evidence from experiments highlights notable improvements in terms of the percentage of generated Verilog outputs that are syntactically and functionally correct. These findings underscore the efficacy of our approach, promising a forward leap in the field of automated hardware design through machine learning.","","979-8-3503-7608-1","10.1109/LAD62341.2024.10691683","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691683","Large Language Models;Multiple Expert architectures;fine-tuning;Verilog;dataset;transformers","Codes;Large language models;Conferences;Machine learning;Transformers;Hardware;Complexity theory;Hardware design languages","","21","","22","IEEE","1 Oct 2024","28-29 June 2024","28-29 June 2024","IEEE","IEEE Conferences"
"JavaLLM: A Fine-Tuned LLM for Java Programming Education","J. Zhang; K. Liu","School of Information Science and Engineering, Hunan Urban Professional College, Changsha, China; School of Information Science and Engineering, Hunan Urban Professional College, Changsha, China",2024 8th International Symposium on Computer Science and Intelligent Control (ISCSIC),"14 Mar 2025","2024","","","276","280","The integration of Large Language Models (LLMs) into education marks a significant advancement toward personalized and adaptive learning environments, particularly in programming education. Addressing the limitations of existing LLMs in specialized domains like Java programming, this paper introduces JavaLLM — a model specifically tailored for Java programming education. Built upon a robust codeLLM and fine-tuned using extensive, high-quality Java-focused datasets, JavaLLM demonstrates superior performance in code generation and Java-specific question answering. Through rigorous evaluation and iterative refinement, JavaLLM facilitates a transformative classroom experience, enhancing the quality of teaching and enabling a personalized learning journey for students in Java programming courses. This innovation paves the way for smarter, more tailored educational approaches, leveraging AI’s generative capabilities to meet the evolving demands of modern education.","","979-8-3503-8028-6","10.1109/ISCSIC64297.2024.00064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10914617","Large Language Model;Java Education;Fine-tuning","Java;Adaptation models;Technological innovation;Codes;Large language models;Education;Question answering (information retrieval);Iterative methods;Programming profession;Intelligent control","","2","","32","IEEE","14 Mar 2025","6-8 Sept. 2024","6-8 Sept. 2024","IEEE","IEEE Conferences"
"Towards Effective Validation and Integration of LLM-Generated Code","N. Tang","University of Notre Dame, Notre Dame, IN, USA",2024 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"16 Oct 2024","2024","","","369","370","Recent advances in large language model (LLM)-based code generation tools have shown the potential to lower the barrier to programming and improve developer productivity. However, validating the generated codes and integrating them into projects present significant challenges, especially for developers with limited expertise or domain-specific knowledge. I present a novel approach to help developers understand and modify LLM-generated code to align with their intentions, informed by my empirical study of developer behaviors when working with LLM code generation models. In the future, I propose to extend the work to include support for project-level code validation, dynamic program behavior integration, developer behavioral and cognitive context modeling, and computer science education.","1943-6106","979-8-3503-6613-6","10.1109/VL/HCC60511.2024.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10714569","large language model;debugging;developer behavior;code generation","Productivity;Visualization;Codes;Computational modeling;Large language models;Computer science education;Programming profession;Context modeling","","6","","10","IEEE","16 Oct 2024","2-6 Sept. 2024","2-6 Sept. 2024","IEEE","IEEE Conferences"
